Time (Seconds),Power (W),Temperature_Center(deg. C),Temperature__Middle(deg. C),Temperature_Surface(deg. C)
59,1.0306E-05,25.7868514301428,25.784763380714,25.7865096788676
60,9.306E-06,25.7947199444443,25.7868007285598,25.7865096788676
61,9.3059E-06,25.7918953495668,25.7908754242513,25.7865096788676
62,9.3059E-06,25.7920971063438,25.7888380764056,25.7865096788676
63,9.3061E-06,25.7957287283291,25.7929127720971,25.7865096788676
64,9.3061E-06,25.7957287283291,25.7888380764056,25.7865096788676
65,9.3061E-06,25.7951234579982,25.7908754242513,25.7865096788676
66,9.3058E-06,25.7906848089051,25.7908754242513,25.7865096788676
67,9.3061E-06,25.7963339986599,25.7908754242513,25.7865096788676
68,9.3058E-06,25.7898777817972,25.7908754242513,25.7865096788676
69,9.306E-06,25.7953252147751,25.7908754242513,25.7865096788676
70,9.3056E-06,25.7852373759272,25.7908754242513,25.7865096788676
71,9.3055E-06,25.7836233217115,25.7949501199429,25.7865096788676
72,9.3057E-06,25.7882637275815,25.7868007285598,25.7865096788676
73,9.306E-06,25.7931058902286,25.7868007285598,25.7865096788676
74,9.306E-06,25.7949217012212,25.7868007285598,25.7865096788676
75,9.306E-06,25.7943164308903,25.7908754242513,25.7865096788676
76,9.3059E-06,25.7922988631207,25.7888380764056,25.7865096788676
77,9.3061E-06,25.7953252147751,25.7868007285598,25.7865096788676
78,9.3058E-06,25.7886672411355,25.7827260328683,25.7865096788676
79,9.3058E-06,25.7906848089051,25.7888380764056,25.7865096788676
80,9.306E-06,25.7933076470055,25.7868007285598,25.7865096788676
81,9.3059E-06,25.7929041334516,25.7888380764056,25.7865096788676
82,9.306E-06,25.7941146741134,25.7888380764056,25.7865096788676
83,9.3054E-06,25.7818075107188,25.7888380764056,25.7865096788676
84,9.3059E-06,25.7929041334516,25.7888380764056,25.7865096788676
85,9.306E-06,25.7933076470055,25.7888380764056,25.7865096788676
86,9.3057E-06,25.7878602140276,25.7868007285598,25.7865096788676
87,9.3058E-06,25.7904830521281,25.7888380764056,25.7865096788676
88,9.3056E-06,25.786044403035,25.7929127720971,25.7865096788676
89,2.4365E-05,25.7846321055963,25.7888380764056,25.7865096788676
90,2.7469E-05,25.7852373759272,25.7888380764056,25.7865096788676
91,2.7469E-05,25.7820092674958,25.7888380764056,25.7865096788676
92,2.7469E-05,25.7805969700571,25.7908754242513,25.7865096788676
93,2.7469E-05,25.780798726834,25.7888380764056,25.7865096788676
94,2.7468E-05,25.7791846726184,25.7888380764056,25.7865096788676
95,2.7469E-05,25.7822110242727,25.7888380764056,25.7865096788676
96,2.7469E-05,25.7830180513806,25.7888380764056,25.7865096788676
97,2.7469E-05,25.781000483611,25.7868007285598,25.7865096788676
98,2.7469E-05,25.7838250784884,25.7888380764056,25.7865096788676
99,2.7469E-05,25.7822110242727,25.7908754242513,25.7865096788676
100,2.7469E-05,25.786246159812,25.784763380714,25.7865096788676
101,2.7469E-05,25.7826145378267,25.7868007285598,25.7865096788676
102,2.7469E-05,25.7824127810497,25.7868007285598,25.7865096788676
103,2.7469E-05,25.7836233217115,25.7888380764056,25.7865096788676
104,2.7469E-05,25.7856408894811,25.7908754242513,25.7865096788676
105,2.7469E-05,25.7822110242727,25.7908754242513,25.7865096788676
106,2.7469E-05,25.7826145378267,25.7908754242513,25.7865096788676
107,2.7469E-05,25.7799916997262,25.7888380764056,25.7865096788676
108,2.7469E-05,25.7846321055963,25.7908754242513,25.7865096788676
110,2.7469E-05,25.7824127810497,25.7908754242513,25.7865096788676
111,2.7469E-05,25.7848338623732,25.7888380764056,25.7865096788676
112,2.7469E-05,25.7824127810497,25.7868007285598,25.7865096788676
113,2.7469E-05,25.7826145378267,25.7868007285598,25.7865096788676
114,2.7469E-05,25.7822110242727,25.7888380764056,25.7865096788676
